                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4053,                 2.6329,                 1.7562,                0.50033,                0.47749,                0.46853,                0.26834,                 1.3678,                 1.9377,                 1.7416,               0.067206,             0.00048589,             0.00048589
                      2,                 1.1833,                 1.7862,                 1.5527,                0.60321,                0.62918,                 0.6421,                0.40839,                 1.2026,                 1.4097,                 1.5854,                0.03434,              0.0009533,              0.0009533
                      3,                    1.1,                 1.5447,                 1.4844,                 0.7229,                0.66514,                0.73991,                0.50102,                 1.1421,                 1.2093,                 1.5308,              0.0014546,              0.0014014,              0.0014014
                      4,                 1.0601,                 1.4197,                  1.459,                0.74822,                0.68675,                0.75328,                0.52245,                 1.0658,                 1.1236,                 1.4672,              0.0013733,              0.0013733,              0.0013733
                      5,                 1.0199,                 1.3043,                 1.4242,                0.74286,                0.71652,                0.77404,                0.55076,                 1.0726,                 1.0741,                 1.4446,              0.0013444,              0.0013444,              0.0013444
                      6,                0.99655,                 1.2415,                 1.4031,                0.79055,                0.75851,                0.83042,                0.58852,                 1.0338,                0.93839,                 1.4246,              0.0013155,              0.0013155,              0.0013155
                      7,                0.97876,                 1.1824,                 1.3887,                0.79824,                0.75066,                0.81689,                0.58209,                 1.0414,                0.94386,                 1.4336,              0.0012866,              0.0012866,              0.0012866
                      8,                0.95721,                  1.138,                 1.3746,                0.83807,                0.77193,                0.86375,                0.62221,                 1.0073,                0.89434,                 1.3962,              0.0012576,              0.0012576,              0.0012576
                      9,                0.93567,                 1.0905,                 1.3642,                0.81949,                0.77803,                0.86158,                0.63295,                 0.9884,                0.83696,                 1.3766,              0.0012287,              0.0012287,              0.0012287
                     10,                0.92508,                 1.0692,                 1.3476,                0.85568,                0.76346,                 0.8753,                0.63902,                  1.001,                 0.8253,                 1.3805,              0.0011998,              0.0011998,              0.0011998
                     11,                0.91621,                 1.0366,                   1.34,                0.84383,                0.75705,                0.84962,                0.62023,                 0.9781,                0.83186,                 1.3698,              0.0011709,              0.0011709,              0.0011709
                     12,                0.90223,                 0.9989,                 1.3301,                0.81497,                 0.8017,                0.86655,                0.62917,                0.98874,                0.82933,                 1.3725,               0.001142,               0.001142,               0.001142
                     13,                 0.8964,                0.98173,                 1.3247,                0.84617,                0.80412,                 0.8863,                0.64997,                0.95613,                0.77203,                 1.3517,              0.0011131,              0.0011131,              0.0011131
                     14,                0.88505,                0.96295,                 1.3168,                0.87127,                0.79698,                0.88779,                0.64911,                0.98052,                0.77013,                 1.3734,              0.0010842,              0.0010842,              0.0010842
                     15,                0.87686,                0.94169,                 1.3088,                0.87245,                 0.7851,                 0.8805,                0.64734,                0.95594,                0.78008,                 1.3474,              0.0010553,              0.0010553,              0.0010553
                     16,                0.85977,                0.92346,                 1.3014,                0.86507,                0.79158,                0.88463,                0.66073,                0.94496,                0.74899,                 1.3492,              0.0010264,              0.0010264,              0.0010264
                     17,                0.85353,                0.89547,                 1.2906,                0.87094,                0.81465,                0.89314,                0.66313,                0.94032,                 0.7543,                 1.3462,             0.00099747,             0.00099747,             0.00099747
                     18,                0.85143,                0.89519,                 1.2904,                0.87438,                0.81694,                0.89647,                0.66881,                0.93589,                0.75411,                 1.3318,             0.00096856,             0.00096856,             0.00096856
                     19,                0.83675,                0.86546,                  1.283,                0.86167,                0.82345,                0.90347,                0.66464,                0.95041,                0.71094,                 1.3437,             0.00093966,             0.00093966,             0.00093966
                     20,                0.82607,                0.85275,                 1.2744,                 0.8821,                0.82075,                0.90408,                0.68818,                0.89552,                0.70625,                 1.2897,             0.00091075,             0.00091075,             0.00091075
                     21,                0.82203,                0.84693,                 1.2681,                0.87945,                0.81646,                0.90273,                0.68178,                 0.9171,                0.70244,                 1.3065,             0.00088184,             0.00088184,             0.00088184
